SKU;Nome do Produto;Link Gigil (Mercado Livre);Link Lumiss (Mercado Livre)
16901219528;Tênis Feminino Infantil Cano Alto Conforto Casual Tira Strass Preto;;
13500328634;Scarpin Salto Baixo Verniz Bico Fino23900503334Tênis Domidona Dourado Feminino Street Urbano Cano Baixo Sola Alta;;
11801771134;Sapatilha Feminina Marrom Slingback Bico Fino Laço ABS Metalizado;;
14700601934;Sandália Salto Médio Grosso Tiras Cruzadas Feminina Domidona Caramelo;;
20900300934;Coturno Com Bolsinha Feminino Tratorado Cano Alto Preto;;
11603738334;Sandália Feminina Salto Grosso Tira Strass Espiral Mola Moda Dourada;;
11802072634;Sapatilha Bege Slingback Fivela Bico Fino Laço Delicado;;
16200628734;Sandália Feminina Salto Bloco Confortável Tiras Elegantes Moda Cobre;;
18800638334;Sapatilha Feminina Estilo Boneca ABS Metalizado Dourada;;
20410517528;Coturno Feminino Infantil Tratorado Verniz Com Laço De Strass Preto;;
12700728634;Bota Feminina Texana Western Cano Alto Bordada Bico Fino Prata;;
16200638334;Sandália Feminina Salto Bloco Confortável Tiras Elegantes Moda Dourado;;
19400328634;Sandália Salto Grosso Bloco Tiras Duplas De Strass20407417228Coturno Tratorado Infantil Cadarço Brilhante Menina Fashion;;
12002517234;Scarpin Salto Alto Bico Fino Elegante Confortável Preto;;
11801972634;Sapatilha Feminina Bege Bico Fino Laço Com ABS Oval Metalizado;;
15700100220;Tênis bebê unicórnio cano alto16400112134Tamanco Feminino Plataforma Tratorado Clog Madeira Confort Off White;;
12002619834;Scarpin Feminino Bico Fino Salto Bloco Grosso Brilhante Luxo Nude;;
25700638334;Rasteirinha Slingback Dourada Flat Pedrarias Brilho Bico Quadrado;;
16901119628;Tênis Casual Feminino Cano Médio Refletivo Recortes Confortável;;
16906369528;Tênis Infantil Preto Casual Menina Fashion Cano Alto18500300934Tênis Preto Feminino Domidona Estilo Streetwear Cano Baixo Casual;;
11605701934;Tamanco Caramelo de Dedo Domidona Tiras Finas de Strass Salto Médio Fino;;
11605871034;Sandália Feminina Preto Salto Alto Grosso Cromado Tiras Com Tachas;;
18800304134;Sapatilha Feminina Nude Slingback Bicolor Bico Quadrado;;
19500538334;Sandália Dourado Salto Alto Grosso Tiras Finas Com ABS Metalizado;;
23900500934;Tênis Domidona Preto Feminino Street Urbano Cano Baixo Sola Alta;;
10300419734;Bota Montaria Over The Knee com Camurça Stretch Off White;;
14700600934;Sandália Salto Médio Grosso Tiras Cruzadas Feminina Domidona Preto;;
16400100934;Tamanco Feminino Plataforma Tratorado Clog Madeira Confort Domidona Preto;;
20410554728;Coturno Feminino Infantil Tratorado Verniz Com Laço De Strass Rosa;;
18800619734;Sapatilha Feminina Estilo Boneca ABS Metalizado Off White;;
20503719528;Coturno Feminino Infantil Tratorado Menina Tira De Strass Preto;;
22200519528;Sandália Sapato Feminino Mary Jane Infantil Tratorado Com Strass;;
24800119734;Sandália Feminina Off White Salto Grosso Bloco Madeira Tira Com Tachas;;
11801971034;Sapatilha Feminina Preta Bico Fino Laço Com ABS Oval Metalizado;;
11801976334;Sapatilha Feminina Caramelo Bico Fino Laço Com ABS Oval Metalizado;;
12202171034;Bota Preta Feminina Domidona Cano Alto Salto Fino Taça Elegante;;
18600219534;Sandália Feminina Mary Jane Salto Bloco Grosso Bico Quadrado;;
20410919528;Coturno Feminino Infantil Tratorado Cadarço Bicolor Com Laço;;
16906369728;Tênis Infantil Branco Casual Menina Fashion Cano Alto;;
18800665134;Sapatilha Feminina Estilo Boneca ABS Metalizado Preta;;
19500519534;Sandália Preta Salto Alto Grosso Tiras Finas Com ABS Metalizado;;
24800119534;Sandália Feminina Preta Salto Grosso Bloco Madeira Tira Com Tachas;;
15700100120;Tênis bebê unicórnio cano alto10401600934Coturno Feminino Cano Curto Salto Médio Preto10900400134Sandália Feminina Rasteira Enfeite Laço 109.0410900400934Sandália Feminina Rasteira Enfeite Laço 109.0410900401234Sandália Feminina Rasteira Enfeite Laço 109.0410900404134Sandália Feminina Rasteira Enfeite Laço 109.0410900408934Sandália Feminina Rasteira Enfeite Laço 109.0411601700134Sandália Feminina Salto Grosso Domidona Verniz Casual Básico Branco;;
11601701234;Sandália Feminina Salto Grosso Domidona Verniz Casual Básico Vermelho;;
11601704134;Sandália Feminina Salto Grosso Domidona Verniz Casual Básico Nude;;
11601711834;Sandália Feminina Salto Grosso Domidona Verniz Casual Básico Azul Aqua;;
11601717234;Sandália Feminina Salto Grosso Domidona Verniz Casual Básico Preto Verniz;;
11603200334;Sandália Feminina Espiral Salto Fino Com Strass Brilho Domidona Pink;;
11603200934;Sandália Feminina Espiral Salto Fino Com Strass Brilho Domidona Preta;;
11603212134;Sandália Feminina Espiral Salto Fino Com Strass Brilho Domidona Off White;;
11603300934;Sandália Feminina Salto Fino Tiras Strass Laço Domidona Preta;;
11603303334;Sandália Feminina Salto Fino Tiras Strass Laço Domidona Dourada;;
11603312134;Sandália Feminina Salto Fino Tiras Strass Laço Domidona Off White;;
11603719534;Sandália Feminina Salto Grosso Tira Strass Espiral Mola Moda Preta;;
11603719734;Sandália Feminina Salto Grosso Tira Strass Espiral Mola Moda Off White;;
11603728634;Sandália Feminina Salto Grosso Tira Strass Espiral Mola Moda Prata;;
11603919534;Sandália Feminina Salto Alto Fino Calce Fácil Strass Preta;;
11603928634;Sandália Feminina Salto Alto Fino Calce Fácil Strass Prata;;
11603928734;Sandália Feminina Salto Alto Fino Calce Fácil Strass Cobre;;
11603938334;Sandália Feminina Salto Alto Fino Calce Fácil Strass Dourada;;
11604019734;Sandália Feminina Salto Alto Fino Confortável Tiras Elegante Off White;;
11604119534;Sandália Feminina Salto Fino Bico Quadrado Enfeite De Flor Preta;;
11604138334;Sandália Feminina Salto Fino Bico Quadrado Enfeite De Flor Dourada;;
11604219534;Sandália Feminina Salto Fino Com Tira Em Strass Brilhante Preta;;
11604219734;Sandália Feminina Salto Fino Com Tira Em Strass Brilhante Off White;;
11604319534;Sandália Feminina Salto Fino Bico Quadrado Tira Em Strass Com Laço Preta;;
11604319734;Sandália Feminina Salto Fino Bico Quadrado Tira Em Strass Com Laço Off White;;
11604419534;Sandália Feminina Tiras Triplas Cruzadas Com Strass e Salto Alto Fino Preta;;
11604419734;Sandália Feminina Tiras Triplas Strass Salto Alto Fino Off White;;
11604428634;Sandália Feminina Tiras Triplas Cruzadas Com Strass e Salto Alto Fino Prata;;
11604504134;Sandália Feminina Elegante Tira Única e Fechamento no Tornozelo Caramelo;;
11604519534;Sandália Feminina Elegante Tira Única e Fechamento no Tornozelo Preta;;
11604519734;Sandália Feminina Elegante Tira Única e Fechamento no Tornozelo;;
11604528634;Sandália Feminina Elegante Tira Única e Fechamento no Tornozelo Prata;;
11604538334;Sandália Feminina Elegante Tira Única e Fechamento no Tornozelo Dourado;;
11604565734;Sandália Feminina Elegante Tira Única e Fechamento no Tornozelo;;
11604619534;Sandália Feminina De Tira Lisa e Laço Charmoso no Tornozelo Preta;;
11604619734;Sandália Feminina De Tira Lisa e Laço Charmoso no Tornozelo Off White;;
11604665734;Sandália Feminina De Tira Lisa e Laço Charmoso no Tornozelo Rosa;;
11604719534;Sandália Feminina Salto Fino Tira Dupla e Bico Quadrado Preta;;
11604719734;Sandália Feminina Salto Fino Tira Dupla e Bico Quadrado Off White;;
11604738334;Sandália Feminina Salto Fino Tira Dupla e Bico Quadrado Dourado;;
11604919534;Sandália Feminina Preta Salto Fino Enfeite Metalizado;;
11604919734;Sandália Feminina Off White Salto Fino Enfeite Metalizado;;
11604938334;Sandália Feminina Dourada Salto Fino Enfeite Metalizado;;
11605471034;Sandália Feminina Preta Salto Alto Taça Dourado Metalizado Tira Fina Com Strass;;
11605474634;Sandália Feminina Off White Salto Alto Taça Dourado Metalizado Tira Fina Com Strass;;
11605571034;Sandália Feminina Preta Salto Bloco Dourado Metalizado Bico Quadrado Tira Com Fivela;;
11605574634;Sandália Feminina Off White Salto Bloco Dourado Metalizado Bico Quadrado Tira Com Fivela;;
11605674734;Tamanco Feminino Preto Verniz Molhado Salto Baixo Dourado Metalizado Bico Quadrado;;
